job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Nhân Viên An Ninh Doanh Nghiệp,"Quận Thủ Đức, Hồ Chí Minh",Công ty TNHH VTQT Đại Dương Xanh,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân viên CSKH Nhà hàng,Bình Định,Khu Du Lịch Sinh Thái Hầm Hô Rosa Alba,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Hỗ Trợ It,"Quận Bình Tân, Hồ Chí Minh",Công ty TNHH Lạc Tỷ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Phiên Dịch Viên,"Quận 10, Hồ Chí Minh",CÔNG TY TNHH HIBARI VIỆT NAM,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Nhân Sự,"Quận 7, Hồ Chí Minh",Công ty TNHH MTV Trần Hân,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
General Accountant (Manufacturing),Hà Nội,HRchannels.com,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,manager,manager,
Bartender,Hồ Chí Minh,Nhà hàng Satsuma House,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Tài Chính,"Tân Bình, Hồ Chí Minh",Đại diện tuyển dụng - Ngân hàng đại diện cho Ngân hàng Việt Nam,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Tổng Đài,"Tân Bình, Hồ Chí Minh",NGUYEN AN NAM,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Chất Lượng,Quảng Ngãi,Sumida,Quảng Ngãi,,24/03/2025,24/03/2025,Việt Nam,,,
Quản lý bán hàng Vùng (khu vực phía Bắc) - nhãn hàng sơn Tuylips - Hoa hồng không giới hạn,,,,,24/03/2025,24/03/2025,Việt Nam,,,
Chủ nhiệm lớp Anh ngữ - Ocean Edu Móng Cái - Lương từ 13 triệu/tháng,,,,oracle,24/03/2025,24/03/2025,Việt Nam,,,
Import - Export Staff,"Phủ Lý, Hà Nam",CÔNG TY TNHH SẢN XUẤT CỬA TA YONG,Hà Nam,,24/03/2025,24/03/2025,Việt Nam,,,
Purchaser,Bình Dương,Talent Viet,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,support,,
Nhân Viên Lễ Tân,"Quận Hai Bà Trưng, Hà Nội",Công ty TNHH Đầu Tư Thương Mại và Dịch Vụ Vân Sơn,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Giặt Là,"Nha Trang, Khánh Hòa",Công ty TNHH Queen Ann Nha Trang,Khánh Hòa,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán Viên,Lâm Đồng,Công ty TNHH TM&DV Trường Hoàng,Lâm Đồng,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Dịch Vụ Kỹ Thuật,"Vân Cốc, Bắc Giang",REERACOEN VIỆT NAM,Bắc Giang,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Chất Lượng,"Bình Chánh, Hồ Chí Minh",CÔNG TY TNHH PET UNIVERSE đại diện cho CÔNG TY TNHH PET UNIVERSE,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Trưởng Nhóm Kế Toán,"Quận Hoàn Kiếm, Hà Nội",Cty Mắt Kính Thanh Lịch,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Cơ Điện,"Huyện Từ Liêm, Hà Nội",Công Ty TNHH Cơ Điện VNE Việt Nam,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Export Documentation Staff / Nhân Viên Chứng Từ Hàng Xuất (Competitive Salary and Attractive Bonus),,,,,24/03/2025,24/03/2025,Việt Nam,manager,manager,
Kỹ Thuật Viên Môi Trường,"Long Bình, Hồ Chí Minh","FULL IN Vietnam Co., Ltd",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhà Nhuộm Màu,"Tây Hồ, Hà Nội",Công Ty Cổ Phần Tập Đoàn Minh Anh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhà Phát Triển Java,"Phú Mỹ, Hồ Chí Minh",CÔNG TY TNHH WORLD WAVE CULTURE TECHNOLOGY,Hồ Chí Minh,"java, sql, mongodb, mysql, database, cloud",24/03/2025,24/03/2025,Việt Nam,,middle,
Nhân Viên Editor,Hà Nội,CôNg Ty Cổ PhầN Gió Media,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Demand Planning Manager,Hồ Chí Minh,PNJ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,manager,manager,
Commis II | Le Méridien Saigon,Hồ Chí Minh,Le Meridien Saigon,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
Nhân Viên Kinh Doanh,"Ngọc Hà, Hà Nội",Công ty TNHH Thương mại Thiên Linh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
